,Train Loss
0,0.8371807002385457
1,0.8119409720102946
2,0.8111295155207316
3,0.8106888300577799
4,0.8104669408798217
5,0.8102687660535176
6,0.8100921198209127
7,0.809963267548879
8,0.8098558305740357
9,0.8097834371566772
10,0.809711075369517
11,0.809662518119812
12,0.8095919812520345
13,0.8095333551088969
14,0.8095152221043904
15,0.8094839700698853
16,0.8094529568036397
17,0.8094209559440613
18,0.8093907892862956
19,0.8093728425343831
20,0.8093416693051656
21,0.809324234676361
22,0.8093073074976603
23,0.8093078573226928
24,0.8092753801027934
25,0.8092545086542765
26,0.8092545926411947
27,0.8092357469558715
28,0.8092170063972474
29,0.809214828046163
30,0.8092099011739095
31,0.8092004877726237
32,0.809186608060201
33,0.8091888900121053
34,0.809161213906606
35,0.8091559066772461
36,0.8091548221588135
37,0.8091497396151225
38,0.8091364598592122
39,0.8091116162618002
40,0.8091411350250244
41,0.8091176699638367
42,0.8091183236122131
43,0.8091094390233358
44,0.8091053345362346
45,0.8091050262769063
46,0.809092268371582
47,0.809097132619222
48,0.8090843573888143
49,0.8090750787734985
